"tid","s1","s2","s3","s4","s5","thematicheading"
"1996","AT","07","a",,,"Relapse"
"1997","AT","08",,,,"Extreme evil, unpardonableness"
"1998","AT","09",,,,"Inferiority/baseness"
"1999","AT","10",,,,"Roguery, dissoluteness"
"2000","AT","10","a",,,"Ruffianly conduct"
"2001","AT","11",,,,"Wretchedness/baseness"
"2002","AT","12",,,,"Villainy"
"2003","AT","13",,,,"Foulness, filth"
"2004","AT","14",,,,"Accursedness, cursing"
"2005","AT","15",,,,"Wrongdoing"
"2006","AT","15","a",,,"Sinfulness"
"2007","AT","15","b",,,"Guilt"
"2008","AT","15","c",,,"Criminality"
"2009","AT","15","d",,,"Immorality"
"2010","AT","15","e",,,"Leading astray"
"2011","AT","15","f",,,"Corruption"
"2012","AT","15","g",,,"Misbehaviour"
"2013","AT","15","h",,,"Undutifulness"
"2014","AT","15","i",,,"Unjustness"
"2015","AT","15","j",,,"Unfittingness"
"2016","AT","16",,,,"Treachery, treason"
"2017","AT","16","a",,,"Disloyalty"
"2018","AT","17",,,,"Dishonesty"
"2019","AT","18",,,,"Harmfulness/injury"
"2020","AT","19",,,,"Mischievousness"
"2021","AT","20",,,,"Spitefulness, ill-will"
"2022","AT","21",,,,"Harshness, cruelty"
"2023","AU",,,,,"Emotion"
"2024","AU","01",,,,"Emotions, mood"
"2025","AU","01","a",,,"State of feeling, mood"
"2026","AU","01","b",,,"Manifestation of emotion"
"2027","AU","02",,,,"Capacity for emotion"
"2028","AU","02","a",,,"Sentimentality"
"2029","AU","03",,,,"Absence of emotion"
"2030","AU","04",,,,"Intense emotion"
"2031","AU","05",,,,"Excitement"
"2032","AU","05","a",,,"Inspiration"
"2033","AU","05","b",,,"Spiritedness/liveliness"
"2034","AU","05","c",,,"Impetuosity"
"2035","AU","05","d",,,"Impatience"
"2036","AU","06",,,,"Calmness"
"2037","AU","07",,,,"Meekness, patience"
"2038","AU","07","a",,,"Patience"
"2039","AU","08",,,,"Pleasure"
"2040","AU","09",,,,"Smiling"
"2041","AU","10",,,,"Contentment/satisfaction"
"2042","AU","10","a",,,"Self-satisfaction"
"2043","AU","11",,,,"Happiness"
"2044","AU","11","a",,,"Consolation, relief"
"2045","AU","11","b",,,"Rapture/ecstasy"
"2046","AU","11","c",,,"Rejoicing/exultation"
"2047","AU","12",,,,"Cheerfulness"
"2048","AU","12","a",,,"Merriment"
"2049","AU","13",,,,"Laughter"
"2050","AU","13","a",,,"Cause of laughter, joking"
"2051","AU","14",,,,"Suffering"
"2052","AU","14","a",,,"Mental anguish/torment"
"2053","AU","14","b",,,"Broken-heartedness"
"2054","AU","15",,,,"Sorrow, grief"
"2055","AU","15","a",,,"Expression of grief"
"2056","AU","15","a","01",,"Moaning/groaning"
"2057","AU","15","a","02",,"Weeping"
"2058","AU","15","a","03",,"Sighing"
"2059","AU","16",,,,"Regret, remorse"
"2060","AU","17",,,,"Misery"
"2061","AU","18",,,,"Anxiety, worry"
"2062","AU","18","a",,,"Worry"
"2063","AU","18","b",,,"Anxiety"
"2064","AU","19",,,,"Shock"
"2065","AU","20",,,,"Harassment, oppression"
"2066","AU","21",,,,"Dejection, depression, melancholy"
"2067","AU","21","a",,,"Melancholy"
"2068","AU","21","b",,,"Seriousness/solemnity"
"2069","AU","22",,,,"Displeasure"
"2070","AU","22","a",,,"Discontent"
"2071","AU","22","b",,,"Complaint"
"2072","AU","23",,,,"Annoyance, vexation"
"2073","AU","24",,,,"Weariness, tedium"
"2074","AU","25",,,,"Anger"
"2075","AU","25","a",,,"Furious anger, rage"
"2076","AU","25","b",,,"Irritation"
"2077","AU","25","c",,,"Irascibility"
"2078","AU","26",,,,"Ill-humour"
"2079","AU","27",,,,"Love"
"2080","AU","27","a",,,"Liking"
"2081","AU","27","b",,,"Loved one"
"2082","AU","27","c",,,"Terms of endearment"
"2083","AU","27","d",,,"Affection, tenderness"
"2084","AU","28",,,,"Manifestations of affection"
"2085","AU","28","a",,,"Embrace"
"2086","AU","28","b",,,"Kiss"
"2087","AU","29",,,,"Amorous love"
"2088","AU","29","a",,,"Love-affair"
"2089","AU","29","b",,,"A lover"
"2090","AU","29","c",,,"Courtship"
"2091","AU","29","d",,,"Flirtation"
"2092","AU","30",,,,"Friendship"
"2093","AU","31",,,,"Hatred"
"2094","AU","31","a",,,"Dislike"
"2095","AU","31","a","01",,"Disgust"
"2096","AU","32",,,,"Hostility, enmity"
"2097","AU","32","a",,,"Enemy"
"2098","AU","32","b ",,,"Quarrel/falling out"
"2099","AU","33",,,,"Indifference"
"2100","AU","34",,,,"Compassion"
"2101","AU","34","a",,,"Pitilessness"
"2102","AU","35",,,,"Jealousy, envy"
"2103","AU","36",,,,"Gratitude"
"2104","AU","36","a",,,"Ingratitude"
"2105","AU","37",,,,"Pride, arrogance"
"2106","AU","37","a",,,"Arrogance"
"2107","AU","37","b",,,"Impudence, shamelessness"
"2108","AU","37","c",,,"Proper pride/self-respect"
"2109","AU","37","d",,,"Haughtiness"
"2110","AU","37","e",,,"Pomposity"
"2111","AU","37","f",,,"Self-importance"
"2112","AU","37","g",,,"Complacency"
"2113","AU","37","h",,,"Conceit"
"2114","AU","37","i",,,"Vanity"
"2115","AU","38",,,,"Vainglory, bravado"
"2116","AU","38","a",,,"Boasting"
"2117","AU","38","b",,,"Bravado"
"2118","AU","39",,,,"Ostentation, display"
"2119","AU","39","a",,,"Ceremony"
"2120","AU","40",,,,"Humility, shame"
"2121","AU","40","a",,,"Humiliation"
"2122","AU","40","b",,,"Shame"
"2123","AU","41",,,,"Modesty"
"2124","AU","41","a",,,"Shyness"
"2125","AU","42",,,,"Servility"
"2126","AU","43",,,,"Fear"
"2127","AU","43","a",,,"Apprehensiveness"
"2128","AU","43","a","01",,"Nervousness/uneasiness"
"2129","AU","43","a","02",,"Timidity"
"2130","AU","44",,,,"Dismay"
"2131","AU","45",,,,"Cowardice"
"2132","AU","46",,,,"Source of fear"
"2133","AU","46","a",,,"Intimidation"
"2134","AU","47",,,,"Courage, spirit, daring"
"2135","AU","47","a",,,"Heroism, valour"
"2136","AU","47","a","01",,"Chivalry"
"2137","AU","47","b",,,"Confidence"
"2138","AU","47","c",,,"Fearlessness"
"2139","AU","47","d",,,"Encouragement"
"2140","AV",,,,,"Will"
"2141","AV","01",,,,"Free will"
"2142","AV","01","a",,,"Choice, choosing"
"2143","AV","01","b",,,"Necessity"
"2144","AV","01","b","01",,"Fate, destiny"
"2145","AV","02",,,,"Wish/inclination"
"2146","AV","02","a",,,"Willingness"
"2147","AV","02","a","01",,"Unwillingness"
"2148","AV","02","b",,,"Desire"
"2149","AV","02","b","01",,"Aspiration/ambition"
"2150","AV","03",,,,"Intention"
"2151","AV","03","a",,,"Planning"
"2152","AV","03","a","01",,"Plotting"
"2153","AV","04",,,,"Decision"
"2154","AV","04","a",,,"Resolution, determination"
"2155","AV","04","b",,,"Constancy"
"2156","AV","04","b","01",,"Perseverance"
"2157","AV","04","b","02",,"Obstinacy, stubbornness"
"2158","AV","04","c",,,"Irresolution/inconstancy"
"2159","AV","05",,,,"Motivation"
"2160","AV","05","a",,,"Persuasion"
"2161","AW",,,,,"Possession/ownership"
"2162","AW","01",,,,"Owning"
"2163","AW","01","a",,,"Possessions"
"2164","AW","02",,,,"Non-possession"
"2165","AW","03",,,,"Wealth"
"2166","AW","04",,,,"Poverty"
"2167","AW","04","a",,,"Begging, beggar"
"2168","AW","05",,,,"Sharing"
"2169","AW","06",,,,"Acquisition"
"2170","AW","06","a",,,"Not obtaining"
"2171","AW","06","b",,,"Receiving"
"2172","AW","07",,,,"Loss"
"2173","AW","07","a",,,"Taking away"
"2174","AW","08",,,,"Retaining"
"2175","AW","09",,,,"Frugality, meanness"
"2176","AW","10",,,,"Relinquishing"
"2177","AW","10","a",,,"Prodigality"
"2178","AW","11",,,,"Giving"
"2179","AW","11","a",,,"Gift"
"2180","AW","11","b",,,"Lavishness"
"2181","AW","11","c",,,"Distributing, sharing out"
"2182","AW","12",,,,"Lending"
"2183","AW","13",,,,"Giving back, restitution"
"2184","AW","14",,,,"Offering"
"2185","AW","15",,,,"Taking"
"2186","AW","15","a",,,"Seizing, capture"
"2187","AW","15","b",,,"Extortion"
"2188","AW","16",,,,"Taking surreptitiously, theft"
"2189","AW","16","a",,,"Stealing, theft"
"2190","AW","16","b",,,"Burglary"
"2191","AW","16","c",,,"Robbery, piracy, raiding"
"2192","AW","16","c","01",,"Piracy"
"2193","AW","16","c","02",,"Kidnapping"
"2194","AW","16","c","03",,"Plagiarism"
"2195","AW","16","c","04",,"Swindling"
"2196","AW","17",,,,"Thief, robber, swindler"
"2197","AW","18",,,,"Stolen goods"
"2198","AW","19",,,,"Borrowing"
"2199","AW","20",,,,"Supply"
"2200","AW","20","a",,,"Storage"
"2201","AX",,,,,"Language"
"2202","AX","01",,,,"A language"
"2203","AX","01","a",,,"Dialect"
"2204","AX","01","b",,,"Register"
"2205","AX","02",,,,"Languages of the world"
"2206","AX","02","a",,,"Indo-Hittite languages"
"2207","AX","02","b",,,"Pidgins and creoles"
"2208","AX","03",,,,"Speech"
"2209","AX","03","a",,,"Speaker"
"2210","AX","03","b",,,"Manner of speaking"
"2211","AX","03","b","01",,"Accent"
"2212","AX","04",,,,"Narration, description"
"2213","AX","05",,,,"Interruption"
"2214","AX","06",,,,"Speech-making"
"2215","AX","06","a",,,"Recitation"
"2216","AX","06",,,,"Rhetoric"
"2217","AX","07",,,,"Conversation"
"2218","AX","08",,,,"Monologue"
"2219","AX","09",,,,"Talkativeness"
"2220","AX","10",,,,"Taciturnity"
"2221","AX","11",,,,"Imperfect speech"
"2222","AX","12",,,,"Requesting"
"2223","AX","13",,,,"Protest, remonstrance"
"2224","AX","14",,,,"Agreement, consent"
"2225","AX","15",,,,"Promise, pledge"
"2226","AX","16",,,,"Linguistics"
"2227","AX","16","a",,,"Grammar"
"2228","AX","16","a","01",,"Part of speech"
"2229","AX","16","a","02",,"Morphology"
"2230","AX","16","a","03",,"Syntax"
"2231","AX","16","a","04",,"Grammatical categories"
"2232","AX","17",,,,"Semantics"
"2233","AX","17","a",,,"Semiotics"
"2234","AX","18",,,,"Phonetics and phonology"
"2235","AX","19",,,,"Words and phrases"
"2236","AX","20",,,,"Lexicography"
"2237","AX","21",,,,"Naming"
"2238","AX","21","a",,,"Anonymity"
"2239","AX","22",,,,"Statement, declaration"
"2240","AX","23",,,,"Agreement, assent"
"2241","AX","24",,,,"Denial, dissent"
"2242","AX","24","a",,,"Objection"
"2243","AX","25",,,,"Refusal"
"2244","AX","26",,,,"Malediction"
"2245","AX","26","a",,,"Oaths"
"2246","AY",,,,,"Society"
"2247","AY","01",,,,"Kinship/relationship"
"2248","AY","01","a",,,"Relations/kindred"
"2249","AY","01","b",,,"Family"
"2250","AY","01","c",,,"Clan"
"2251","AY","01","d",,,"Tribe"
"2252","AY","01","e",,,"Kinsman/relation"
"2253","AY","01","e","01",,"Parent"
"2254","AY","01","e","01","a","Father"
"2255","AY","01","e","01","b","Mother"
"2256","AY","01","e","02",,"Child"
"2257","AY","01","e","02","a","Son"
"2258","AY","01","e","02","b","Daughter"
"2259","AY","01","e","03",,"Grandparent"
"2260","AY","01","e","04",,"Grandchild"
"2261","AY","01","e","05",,"Sibling"
"2262","AY","01","e","05","a","Brother"
"2263","AY","01","e","05","b","Sister"
"2264","AY","01","e","06",,"Uncle"
"2265","AY","01","e","07",,"Aunt"
"2266","AY","01","e","08",,"Nephew/niece"
"2267","AY","01","e","09",,"Cousin"
"2268","AY","01","e","10",,"Ancestor"
"2269","AY","01","e","11",,"Descendant"
"2270","AY","01","f",,,"Lineage/descent"
"2271","AY","01","f","01",,"Genealogy as study"
"2272","AY","01","g",,,"Marriage/wedlock"
"2273","AY","01","g","01",,"Married woman"
"2274","AY","01","g","02",,"Married man"
"2275","AY","01","g","03",,"Types of marriage custom/practice"
"2276","AY","01","g","04",,"A marriage"
"2277","AY","01","g","05",,"Fitness for marriage"
"2278","AY","01","g","06",,"Seeking marriage"
"2279","AY","01","g","07",,"Match-making"
"2280","AY","01","g","08",,"Proposal of marriage"
"2281","AY","01","g","09",,"Betrothal"
"2282","AY","01","g","10",,"Action/fact of marrying"
"2283","AY","01","g","11",,"Wedding/nuptials"
"2284","AY","01","g","11","0","Marriage-vows/bonds"
"2285","AY","01","g","11","0","Music/song/bells"
"2286","AY","01","g","11","0","Wedding festivities"
"2287","AY","01","g","11","0","Gifts and payments"
"2288","AY","01","g","11","0","Time after marriage"
"2289","AY","01","g","12",,"Remarriage"
"2290","AY","01","g","13",,"Unmarried person(s)"
"2291","AY","01","g","13","0","Unmarried woman"
"2292","AY","01","g","13","0","Unmarried man"
"2293","AY","01","g","14",,"Widow/widower"
"2294","AY","01","g","15",,"Divorce/dissolution"
"2295","AY","02",,,,"Study of society"
"2296","AY","03",,,,"Society in relation to customs/values/beliefs"
"2297","AY","03","a",,,"Customs/values/beliefs of a society/group"
"2298","AY","03","b",,,"Civilization"
"2299","AY","03","b","01",,"Lack of civilization"
"2300","AY","03","c",,,"A civilization/culture"
"2301","AY","04",,,,"Social relations"
"2302","AY","04","a",,,"Association/fellowship/companionship"
"2303","AY","04","a","01",,"A company/body of persons"
"2304","AY","04","a","02",,"A companion/associate"
"2305","AY","04","b",,,"Co-operation"
"2306","AY","04","c",,,"Association for a common purpose"
"2307","AY","04","c","01",,"Meeting/assembling for common purpose"
"2308","AY","04","d",,,"An association/society/organization"
"2309","AY","04","d","01",,"Types of association/society/organization"
"2310","AY","04","d","02",,"Specific societies/organizations"
"2311","AY","04","d","03",,"Secret society"
"2312","AY","04","e",,,"Party/faction"
"2313","AY","04","f",,,"Lack of social communication/relations"
"2314","AY","04","f","01",,"Solitude/solitariness"
"2315","AY","04","f","02",,"Retirement/seclusion"
"2316","AY","04","f","03",,"Separation/isolation"
"2317","AY","04","f","04",,"Exclusion from society"
"2318","AY","05",,,,"Social attitudes"
"2319","AY","05","a",,,"Philanthropy"
"2320","AY","05","b",,,"Misanthropy"
"2321","AY","05","c",,,"Public-spiritedness"
"2322","AY","05","d",,,"Patriotism"
"2323","AY","05","d","01",,"Nationalism"
"2324","AY","05","d","02",,"Liking for/sympathy with other nations"
"2325","AY","05","d","03",,"Fear/dislike of other nations"
"2326","AY","05","e",,,"Racial attitudes"
"2327","AY","06",,,,"Social class"
"2328","AY","06","a",,,"Nobility"
"2329","AY","06","a","01",,"Aristocracy/upper class"
"2330","AY","06","a","02",,"Rank"
"2331","AY","06","a","02","a","Royalty"
"2332","AY","06","a","02","b","Duke/duchess"
"2333","AY","06","a","02","c","Lord/lady"
"2334","AY","06","a","02","d","Earl/count/countess"
"2335","AY","06","a","02","e","Knight"
"2336","AY","06","a","02","f","Knight's squire"
"2337","AY","06","a","02","g","Raising to noble rank"
"2338","AY","06","a","02","h","Divesting of rank/title"
"2339","AY","06","a","03",,"Title"
"2340","AY","06","a","03","a","Title/form of address for persons of rank"
"2341","AY","06","b",,,"The common people"
"2342","AY","06","b","01",,"Specific ranks of common people"
"2343","AY","06","b","02",,"Specific classes of common people"
"2344","AY","06","b","02","a","Fashionable society"
"2345","AY","06","b","02","b","Peasant/rustic"
"2346","AY","06","b","03",,"Socially inferior person"
"2347","AY","06","b","04",,"Low rank/condition"
"2348","AY","06","b","04","a","Low/vulgar person"
"2349","AY","06","b","04","b","Lout/boor"
"2350","AY","06","b","04","c","The lowest class"
"2351","AY","06","b","04","d","Outcast/untouchable"
"2352","AY","06","c",,,"Symbol of Rank"
"2353","AY","07",,,,"Dissent"
"2354","AY","07","a",,,"Lack of peacefulness"
"2355","AY","07","b",,,"Contention/strife"
"2356","AY","07","c",,,"Quarrel/quarrelling"
"2357","AY","07","d",,,"Fighting"
"2358","AY","07","e",,,"Competition/rivalry"
"2359","AY","07","e","01",,"Challenge/challenging"
"2360","AY","07","f",,,"Absence of dissension/peace"
"2361","AY","07","f","01",,"Bringing about concord/peace"
"2362","AZ",,,,,"Inhabiting and dwelling"
"2363","AZ","01",,,,"Inhabiting temporarily"
"2364","AZ","01","a",,,"Haunting/resorting"
"2365","AZ","01","b",,,"Camping/encamping"
"2366","AZ","01","c",,,"Exile/state of"
"2367","AZ","02",,,,"Providing with dwelling"
"2368","AZ","03",,,,"Removing from dwelling"
"2369","AZ","04",,,,"Furnishing with inhabitants"
"2370","AZ","04","a",,,"Colonizing"
"2371","AZ","04","b",,,"Migration"
"2372","AZ","04","b","01",,"Immigration"
"2373","AZ","04","b","02",,"Emigration"
"2374","AZ","05",,,,"Inhabitant"
"2375","AZ","05","a",,,"Population"
"2376","AZ","05","b",,,"Temporary inhabitant"
"2377","AZ","05","c",,,"Country dweller"
"2378","AZ","05","d",,,"Town-/city-dweller"
"2379","AZ","05","e",,,"Colonist/settler"
"2380","AZ","05","f",,,"Migrant"
"2381","AZ","05","g",,,"Exile"
"2382","AZ","06",,,,"Inhabited place"
"2383","AZ","06","a",,,"A land/country"
"2384","AZ","06","a","01",,"Part of country/district"
"2385","AZ","06","b",,,"Country as opposed to town"
"2386","AZ","06","c",,,"Town and country"
"2387","AZ","06","d",,,"Town as opposed to country"
"2388","AZ","06","d","01",,"Town or city"
"2389","AZ","06","d","01","a","Part of town/city"
"2390","AZ","06","d","01","b","City"
"2391","AZ","06","d","01","c","Town"
"2392","AZ","06","d","01","d","Town/village/collection of dwellings"
"2393","AZ","06","d","01","d","Village"
"2394","AZ","06","e",,,"Dwelling-place/abode"
"2395","AZ","06","e","01",,"Accommodation/lodging"
"2396","AZ","06","e","01","a","Public lodging-places"
"2397","AZ","06","e","02",,"Institutional homes"
"2398","AZ","06","e","03",,"Camp/encampment"
"2399","AZ","06","e","04",,"Place of resort"
"2400","AZ","06","e","05",,"A dwelling"
"2401","AZ","06","e","05","a","A house"
"2402","AZ","06","e","05","b","Official residence"
"2403","AZ","06","e","05","c","Dwelling of king/ruler"
"2404","AZ","06","e","05","d","Hut/hovel"
"2405","AZ","06","e","05","e","Tent"
"2406","AZ","06","f",,,"A building"
"2407","AZ","06","f","01",,"Public building"
"2408","AZ","06","f","02",,"Parts of building"
"2409","AZ","06","f","02","a","Framework of building"
"2410","AZ","06","f","02","b","Wall of building"
"2411","AZ","06","f","02","c","Roof"
"2412","AZ","06","f","02","d","Floor"
"2413","AZ","06","f","02","e","Window/door"
"2414","AZ","06","f","02","f","Room"
"2415","AZ","06","f","02","g","Passage/corridor"
"2416","AZ","06","f","02","h","Stairs"
"2417","AZ","06","f","02","i","Porches, balconies, etc"
"2418","AZ","06","f","03",,"Outhouse(s)"
"2419","AZ","06","f","04",,"Courtyard"
"2420","AZ","06","f","05",,"Furniture and fittings"
"2421","AZ","06","f","05","a","Table"
"2422","AZ","06","f","05","b","Desk"
"2423","AZ","06","f","05","c","Cupboard/cabinet"
"2424","AZ","06","f","05","d","Chest of drawers"
"2425","AZ","06","f","05","e","Stand"
"2426","AZ","06","f","05","f","Seat"
"2427","AZ","06","f","05","g","Support/rest"
"2428","AZ","06","f","05","h","Bed"
"2429","AZ","06","f","05","i","Household linen"
"2430","AZ","06","f","05","j","Covers/hangings"
"2431","AZ","06","f","05","k","Screen"
"2432","AZ","06","f","05","l","Wallcovering"
"2433","AZ","06","f","05","m","Floor-covering"
"2434","BA",,,,,"Armed hostility"
"2435","BA","01",,,,"War"
"2436","BA","01","a",,,"War as profession/skill"
"2437","BA","01","b",,,"Militarism"
"2438","BA","02",,,,"Armed encounter"
"2439","BA","02","a",,,"Contending in battle"
"2440","BA","02","b",,,"Battlefield"
"2441","BA","03",,,,"Victory"
"2442","BA","04",,,,"Defeat"
"2443","BA","05",,,,"Attack"
"2444","BA","05","a",,,"Charge"
"2445","BA","05","b",,,"Raid"
"2446","BA","05","c",,,"Invasion"
"2447","BA","05","d",,,"Action/state of siege/blockade"
"2448","BA","06",,,,"Defence"
"2449","BA","06","a",,,"Action/duty of sentry/picket"
"2450","BA","06","b",,,"Holding out/making stand"
"2451","BA","06","c",,,"Defensive work(s)"
"2452","BA","06","c","01",,"Fort/fortified town"
"2453","BA","06","c","02",,"Castle/fortified building"
"2454","BA","06","c","03",,"Palisade/stockade"
"2455","BA","06","c","04",,"Defensive walls"
"2456","BA","06","c","05",,"Gate"
"2457","BA","06","c","06",,"Moat"
"2458","BA","06","c","07",,"Earthwork/rampart"
"2459","BA","06","c","08",,"Barricade"
"2460","BA","06","c","09",,"Shelter/screen"
"2461","BA","07",,,,"Military operations"
"2462","BA","07","a",,,"Manoeuvre"
"2463","BA","07","b",,,"Evolution"
"2464","BA","07","c",,,"Distribution of troops"
"2465","BA","07","c","01",,"Formation"
"2466","BA","07","c","02",,"Military position"
"2467","BA","08",,,,"Drill/training"
"2468","BA","09",,,,"Military organization"
"2469","BA","09","a",,,"Enlistment/recruitment"
"2470","BA","09","a","01",,"Discharge from service"
"2471","BA","09","a","02",,"Appointment to rank"
"2472","BA","09","b",,,"Logistics"
"2473","BA","09","b","01",,"Quartering"
"2474","BA","09","c",,,"Ceremonial"
"2475","BA","09","d",,,"Orders"
"2476","BA","09","e",,,"Signals"
"2477","BA","09","f",,,"Insignia"
"2478","BA","10",,,,"Military service"
"2479","BA","11",,,,"Military power"
"2480","BA","12",,,,"Armed forces"
"2481","BA","12","a",,,"The Army"
"2482","BA","12","a","01",,"Branch of army"
"2483","BA","12","a","02",,"Unit of army"
"2484","BA","12","a","03",,"Part of army by position"
"2485","BA","12","a","04",,"Group with special function/duty"
"2486","BA","13",,,,"Warriors collectively"
"2487","BA","13","a",,,"Band of mercenaries"
"2488","BA","13","b",,,"Bands of guerrillas"
"2489","BA","13","c",,,"Paramilitary groups"
"2490","BA","13","d",,,"Life-guard/body-guard"
"2491","BA","13","e",,,"Comitatus/military followers"
"2492","BA","13","f",,,"Order of knights"
"2493","BA","14",,,,"Warrior"
"2494","BA","14","a",,,"Attacker"
"2495","BA","14","b",,,"Defender"
"2496","BA","14","c",,,"Victor/conqueror"
"2497","BA","14","d",,,"Defeated/conquered"
"2498","BA","14","e",,,"Guerrilla"
"2499","BA","14","f",,,"Member of specific paramilitary group"
"2500","BA","14","g",,,"Life-guard/body-guard"
"2501","BA","14","h",,,"Armed retainer"
"2502","BA","14","i",,,"Member of order of knights, etc."
"2503","BA","14","j",,,"Military person"
"2504","BA","14","k",,,"Soldier"
"2505","BA","14","k","01",,"Soldier by nationality"
"2506","BA","14","k","02",,"Soldier by branch of army"
"2507","BA","14","k","03",,"Soldier by position"
"2508","BA","14","k","04",,"Soldier by type of service"
"2509","BA","14","k","05",,"Soldier with special duty"
"2510","BA","14","k","06",,"Soldier who practises drill/evolution"
"2511","BA","14","k","07",,"Common soldier"
"2512","BA","14","k","08",,"Leader/commander"
"2513","BA","14","k","08","a","Officer/soldier of rank"
"2514","BA","14","k","08","b","Officer by rank"
"2515","BA","14","k","08","c","Officer according to function"
"2516","BA","14","k","09",,"Military servant"
"2517","BA","14","l",,,"Camp follower"
"2518","BA","14","m",,,"One who is armed"
"2519","BA","15",,,,"Military equipment"
"2520","BA","15","a",,,"Weapon"
"2521","BA","15","a","01",,"Club/stick"
"2522","BA","15","a","02",,"Sharp weapon"
"2523","BA","15","a","02","a","Spear/lance"
"2524","BA","15","a","02","b","Axe"
"2525","BA","15","a","02","c","Side-arms; sword, knife/dagger"
"2526","BA","15","a","03",,"Engine of war"
"2527","BA","15","a","04",,"Device for discharging missiles"
"2528","BA","15","a","04","a","Archer's weapons"
"2529","BA","15","a","04","b","Fire-arm generally"
"2530","BA","15","a","04","c","Piece of artillery"
"2531","BA","15","a","04","d","Small-arm"
"2532","BA","15","a","04","e","Parts and fittings of fire-arms"
"2533","BA","15","a","05",,"Missile"
"2534","BA","15","a","05","a","Arrow"
"2535","BA","15","a","05","b","Ammunition for fire-arms"
"2536","BA","15","a","05","c","Guided/ballistic missile"
"2537","BA","15","a","06",,"Explosive device"
"2538","BA","15","a","07",,"Fire/radiation/chemical weapons"
"2539","BA","15","b",,,"Armour"
"2540","BA","15","b","01",,"Body-armour"
"2541","BA","15","b","02",,"Helmet"
"2542","BA","15","b","03",,"Shield"
"2543","BA","15","c",,,"Arming/equipping with weapons"
"2544","BA","15","d",,,"Store of weapons/equipment"
"2545","BA","15","e",,,"Operation and use of weapons"
"2546","BA","15","e","01",,"Stroke with weapon"
"2547","BA","15","e","02",,"Cut of sharp weapon"
"2548","BA","15","e","02","a","Cut/thrust with sword"
"2549","BA","15","e","02","b","Use of knives"
"2550","BA","15","e","03",,"Action of propelling missile"
"2551","BA","15","e","03","a","Use of bow and arrow"
"2552","BA","15","e","03","b","Discharge of fire-arms"
"2553","BA","15","e","04",,"Use of mines and explosives"
"2554","BA","15","e","05",,"Putting weapons/equipment out of action"
"2555","BA","15","f",,,"Production and development of arms"
"2556","BA","15","f","01",,"Armourer"
"2557","BA","16",,,,"Hostilities at sea"
"2558","BA","16","a",,,"Naval battle"
"2559","BA","16","b",,,"Operations/manoeuvres"
"2560","BA","16","c",,,"Administration and ceremonial"
"2561","BA","16","d",,,"Naval service"
"2562","BA","16","e",,,"Navy"
"2563","BA","16","e","01",,"A naval force/fleet"
"2564","BA","16","f",,,"Seafaring warrior/naval man"
"2565","BA","16","f","01",,"Leader/commander"
"2566","BA","16","f","02",,"Naval officials"
"2567","BA","16","g",,,"Naval weapons and equipment"
"2568","BA","17",,,,"Hostilities in the air"
"2569","BA","17","a",,,"Group/unit on operation"
"2570","BA","17","b",,,"Air force"
"2571","BA","17","c",,,"Airman"
"2572","BA","17","d",,,"Aircraft weapons/equipment"
"2573","BA","18",,,,"Peace"
"2574","BA","18","a",,,"Pacification"
"2575","BA","18","a","01",,"Peace treaty"
"2576","BA","18","a","02",,"Disarmament"
"2577","BA","18","b",,,"Pacific character/disposition"
"2578","BA","18","c",,,"Neutrality"
"2579","BA","18","d",,,"Civilian life"
"2580","BB",,,,,"Authority"
"2581","BB","01",,,,"Power"
"2582","BB","01","a",,,"Influence"
"2583","BB","02",,,,"Command"
"2584","BB","02","a",,,"Command/bidding"
"2585","BB","03",,,,"Control"
"2586","BB","03","a",,,"Person in control"
"2587","BB","04",,,,"Strictness"
"2588","BB","05",,,,"Lack of strictness"
"2589","BB","06",,,,"Rule/government"
"2590","BB","06","a",,,"Misrule/misgovernment"
"2591","BB","06","b",,,"Oppression"
"2592","BB","06","c",,,"Rule/government of family/tribe"
"2593","BB","06","c","01",,"Head of family/tribe/clan"
"2594","BB","06","d",,,"Rule of any class/persons"
"2595","BB","06","d","01",,"Ruling class/group"
"2596","BB","06","e",,,"Autonomy"
"2597","BB","06","f",,,"Sole rule"
"2598","BB","06","g",,,"A/the system of government"
"2599","BB","06","g","01",,"Monarchical government"
"2600","BB","06","g","02",,"Government by the people/their delegates"
"2601","BB","06","g","03",,"Systems based on specific principle"
"2602","BB","06","g","04",,"Systems governed by person/body"
"2603","BB","06","g","05",,"Direct rule/devolution/trusteeship/colonialism"
"2604","BB","06","g","06",,"Centralized/regionalized systems"
"2605","BB","06","h",,,"Ruler/governor"
"2606","BB","06","h","01",,"Joint ruler"
"2607","BB","06","h","02",,"Absolute ruler"
"2608","BB","06","h","03",,"Sovereign ruler/monarch"
"2609","BB","06","h","03","a","King"
"2610","BB","06","h","03","b","Queen"
"2611","BB","06","h","03","c","Emperor"
"2612","BB","06","h","04",,"Dynasty"
"2613","BB","06","h","05",,"Regent"
"2614","BB","06","h","06",,"Governor of province/dependency/colony"
"2615","BB","06","h","07",,"Lord"
"2616","BB","06","h","08",,"A/the government"
"2617","BB","06","h","08","a","Head of government"
"2618","BB","06","h","08","b","Government department/agency"
"2619","BB","06","h","08","c","Government minister"
"2620","BB","06","h","08","d","Civil service"
"2621","BB","06","h","08","e","State/government/parliamentary papers"
